stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1777,1777,WBD Sheffield past Bayview Dr,SHEFFIELD BLVD & BAYVIEW DR,42.693641,-84.606717,,,,,,0
1778,1778,WBD Sheffield before Blue River,SHEFFIELD BLVD & BLUE RIVER DR,42.693426,-84.608399,,,,,,0
1779,1779,WBD Sheffield past Blue River Dr,SHEFFIELD BLVD & SEAWAY DR,42.693417,-84.611223,,,,,,0
1780,1780,SBD Seaway past Sheffield Blvd,SEAWAY DR & SEAWAY DR,42.691573,-84.611542,,,,,,0
1781,1781,SBD Seaway past Glenburne Blvd,SEAWAY DR & GLENBURNE BLVD,42.689158,-84.610314,,,,,,0
1785,1785,EBD Sumpter past Waverly Rd,SUMPTER ST & Waverly,42.689194,-84.602346,,,,,,0
1786,1786,EBD Sumpter past Anson St,SUMPTER ST & ANSON ST,42.689194,-84.599559,,,,,,0
1787,1787,EBD Sumpter before Stillwell Ave,SUMPTER ST & STILLWELL AVE,42.689257,-84.596834,,,,,,0
1788,1788,EBD Ronald  before Atlanta Pl,RONALD ST & STILLWELL AVE,42.687557,-84.595533,,,,,,0
1789,1789,EBD Reo past Wainwright Ave,REO RD & BALLARD RD,42.686689,-84.592341,,,,,,0
1790,1790,EBD Reo past Ingham St,REO RD & INGHAM ST,42.686671,-84.588351,,,,,,0
1792,1792,NBD Pleasant Grove past Reo Rd,PLEASANT GROVE RD & REO RD,42.686992,-84.582287,,,,,,0
1793,1793,NBD Pleasant Grove at Risdale St,PLEASANT GROVE RD & RISDALE AVE,42.689489,-84.582262,,,,,,0
1794,1794,NBD Pleasant Grove before Mary Ave,PLEASANT GROVE RD & MARY AVE,42.691019,-84.582237,,,,,,0
1795,1795,NBD Pleasant Grove past Hillcrest S,PLEASANT GROVE RD & HILLCREST ST,42.693265,-84.582225,,,,,,0
1796,1796,NBD Pleasant Grove before Holmes,PLEASANT GROVE RD & W HOLMES RD,42.696835,-84.582162,,,,,,0
1797,1797,EBD Holmes past Pleasant Grove,W HOLMES RD & PLEASANT GROVE RD,42.697524,-84.580652,,,,,,0
1798,1798,EBD Holmes past Simkin,W HOLMES RD & EXPRESS CT,42.697514,-84.578319,,,,,,0
1801,1801,EBD Holmes past MLK,W HOLMES RD & S MARTIN LUTHER KING JR BLVD,42.697494,-84.566226,,,,,,0
1802,1802,NBD Washington before Berry Ave,S WASHINGTON AVE & W HOLMES RD,42.698675,-84.563414,,,,,,0
1803,1803,NBD Washington before Loa St,S WASHINGTON AVE & W HODGE AVE,42.70101,-84.561472,,,,,,0
1804,1804,NBD Washington past Dunlap St,S WASHINGTON AVE & DUNLAP ST,42.702772,-84.560035,,,,,,0
1805,1805,NBD Washington before Greenlawn,S WASHINGTON AVE & W GREENLAWN AVE,42.704686,-84.558425,,,,,,0
1806,1806,NBD Washington past Kensington R,S WASHINGTON AVE & KENSINGTON RD,42.706592,-84.556889,,,,,,0
1807,1807,NBD Washington past Rockford R,S WASHINGTON AVE & W ROCKFORD RD,42.707987,-84.55571,,,,,,0
1809,1809,NBD Washington before Mt Hope A,S WASHINGTON AVE & Mt Hope,42.711333,-84.552945,,,,,,0
1810,1810,NBD Washington at Bank St,S WASHINGTON AVE & Bank Street,42.712917,-84.552354,,,,,,0
1811,1811,NBD Washington past Barnes Ave,S WASHINGTON AVE & W BARNES AVE,42.71527,-84.552316,,,,,,0
1812,1812,NBD Washington past Baker St,S WASHINGTON AVE & WOODLAWN AVE,42.716827,-84.552303,,,,,,0
1813,1813,NBD Washington Ave before South St,S WASHINGTON AVE & E SOUTH ST,42.71986,-84.552276,,,,,,0
1814,1814,NBD Washington past Elm St,S WASHINGTON AVE & E ELM ST,42.722097,-84.552287,,,,,,0
1815,1815,NBD Washington past Hazel St,S WASHINGTON AVE & E HAZEL ST,42.723404,-84.552274,,,,,,0
1816,1816,NBD Walnut past Saginaw St,N WALNUT ST & W MADISON ST,42.74106,-84.55686,,,,,,0
1817,1817,NBD Walnut past Oakland Ave,N WALNUT ST & W KILBORN ST,42.743879,-84.556782,,,,,,0
1818,1818,NBD Walnut past Maple St,N WALNUT ST & W GRAND RIVER AVE,42.74642,-84.556744,,,,,,0
1820,1820,WBD Willow past Chestnut St,W WILLOW ST & N PINE ST,42.74879,-84.5587,,,,,,0
1821,1821,WBD Willow before Christopher St,W WILLOW ST & CHRISTOPHER ST,42.74882,-84.56156,,,,,,0
1822,1822,WBD Willow past Lansing Ave,W WILLOW ST & PRINCETON AVE,42.748355,-84.566425,,,,,,0
1824,1824,WBD Willow past Glenrose Ave,W WILLOW ST & WESTMORELAND AVE,42.748365,-84.571192,,,,,,0
