route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
05,16,3028945,5 SOUTH CEDAR - DOWNTOWN,,1,395659,42914,0,0
05,16,3028903,5 SOUTH CEDAR - DOWNTOWN,,1,395655,42914,0,0
05,16,3028951,5 MEIJER S PENN,,1,395659,42916,0,0
06,16,3029666,6 JOLLY/CEDAR CONNECTOR,,0,395708,42921,0,0
06,16,3029667,6 JOLLY/CEDAR CONNECTOR,,0,395708,42921,0,0
06,16,3029668,6 JOLLY/CEDAR CONNECTOR,,0,395708,42921,0,0
06,16,3029669,6 JOLLY/CEDAR CONNECTOR,,0,395708,42921,0,0
06,16,3029670,6 JOLLY/CEDAR CONNECTOR,,0,395708,42921,0,0
06,16,3029671,6 JOLLY/CEDAR CONNECTOR,,0,395708,42921,0,0
06,16,3029672,6 JOLLY/CEDAR CONNECTOR,,0,395708,42921,0,0
06,16,3029673,6 JOLLY/CEDAR CONNECTOR,,0,395708,42921,0,0
06,16,3029674,6 JOLLY/CEDAR CONNECTOR,,0,395708,42921,0,0
06,16,3029675,6 JOLLY/CEDAR CONNECTOR,,0,395708,42921,0,0
06,16,3029692,6 JOLLY/CEDAR CONNECTOR,,0,395708,42921,0,0
06,16,3029693,6 JOLLY/CEDAR CONNECTOR,,0,395708,42921,0,0
06,16,3029694,6 JOLLY/CEDAR CONNECTOR,,0,395708,42918,0,0
06,16,3029676,6 JOLLY-CEDAR CONNECTOR,,0,395708,42919,0,0
06,16,3029688,6 JOLLY/CEDAR CONNECTOR,,0,395708,42921,0,0
06,16,3029689,6 JOLLY/CEDAR CONNECTOR,,0,395708,42921,0,0
06,16,3029690,6 JOLLY/CEDAR CONNECTOR,,0,395708,42921,0,0
06,16,3029691,6 JOLLY/CEDAR CONNECTOR,,0,395708,42921,0,0
06,16,3029677,6 JOLLY/CEDAR CONNECTOR,,0,395708,42921,0,0
06,16,3029678,6 JOLLY/CEDAR CONNECTOR,,0,395708,42921,0,0
